tau_1 (Nm),tau_2 (Nm),tau_3 (Nm),tau_4 (Nm),tau_5(Nm),tau_6(Nm),tau_7(Nm)
-0.19239670209543427,0.8176604571024667,-0.23938097025116287,-1.8368727081421512,0.22464757839167346,-0.482160299011546,-0.1287236916147792
-0.18844128579480798,0.8368394278972014,-0.23905020703264074,-1.8324309198573332,0.22323560115797703,-0.48136001295990777,-0.1256547872935548
-0.18032061020209064,0.8059645080333211,-0.23429811008999657,-1.8246720225321484,0.2282075747361148,-0.4806749966220539,-0.12739032710950834
-0.1911188826934912,0.8059900419650088,-0.24138513186262142,-1.8277076209080805,0.22612320543225414,-0.48265637984410215,-0.13057569688273576
-0.18554147889308648,0.8514326606271154,-0.23132423573803734,-1.8492693529520572,0.2246141624120905,-0.48358847542732836,-0.12773665673926285
-0.18823776172926573,0.8407491052802107,-0.23146537168862355,-1.8536367542640806,0.2225933463313576,-0.483358707580413,-0.1283849887700722
-0.19385082769284975,0.8336203358960017,-0.2427355367566388,-1.847946345341057,0.22546083316326607,-0.4832200847386182,-0.1297514380086988
-0.18782159299151674,0.8592637800596253,-0.23843501171073042,-1.8548631422780097,0.2242288430514218,-0.4829607265489048,-0.13108878669704419
-0.18730688164803458,0.8269752676113794,-0.24087880709487872,-1.8374051099359527,0.22450049377514947,-0.48272771717279195,-0.12939010675220172
-0.18563370684773822,0.8201469344436678,-0.23136681003955414,-1.8336419479795334,0.2246053344307083,-0.483137987802094,-0.12913910357202338
-0.1898811487610635,0.8509454773771873,-0.23451116406023814,-1.8541096037584106,0.22578530837277647,-0.48390951976647906,-0.12877599417559585
-0.182060202156461,0.8110819645635049,-0.2275994401754018,-1.822867824672277,0.22812917738693012,-0.4821049212451092,-0.1290842207666462
-0.17875303826140904,0.8207202905949217,-0.2305820712258493,-1.8368747703135642,0.225754332331368,-0.48367315048843046,-0.12772110740083994
-0.18603898352507606,0.8286970051165757,-0.22726118072056728,-1.8385583809168715,0.22602704636852933,-0.48232732453986077,-0.12888105949855808
-0.18315568197946483,0.8371733655750437,-0.229156517834346,-1.8318862241933114,0.22512154106808235,-0.4806389774993997,-0.12725698166207924
-0.19066013989076017,0.8403593987708853,-0.24156305115594692,-1.8468441549567065,0.2244215114215184,-0.4831130373462529,-0.1289935733675082
-0.17941703602782086,0.84878170372782,-0.2336559827808032,-1.8552320760251275,0.22437964326044002,-0.48335161153958706,-0.12841644393131377
-0.18846950253507758,0.843928066586387,-0.23616173517258485,-1.8461494743144042,0.22729262918537285,-0.4830466936625639,-0.13013962270825535
-0.18408627677809347,0.83766540259053,-0.23693107409516764,-1.8501548527671554,0.22573605071934152,-0.48335834876233946,-0.12828726410930177
